t	p	p+skin
528.1963083	2592.381664	2572.381664
540.4995808	2591.088810	2571.088810
553.0894333	2589.795806	2569.795806
565.9725412	2588.502656	2568.502656
579.1557353	2587.209363	2567.209363
592.6460054	2585.915929	2565.915929
606.4505042	2584.622356	2564.622356
620.5765511	2583.328648	2563.328648
635.0316359	2582.034807	2562.034807
649.8234229	2580.740756	2560.740756
664.9597549	2579.446737	2559.446737
680.4486573	2578.152512	2558.152512
696.2983426	2576.858164	2556.858164
712.5172146	2575.563695	2555.563695
729.1138725	2574.269107	2554.269107
746.0971163	2572.974404	2552.974404
763.4759507	2571.679586	2551.679586
781.2595901	2570.384657	2550.384657
799.4574637	2569.089618	2549.089618
818.0792203	2567.704306	2547.704306
837.1347332	2566.499219	2546.499219
856.6341061	2565.203863	2545.203863
876.5876777	2563.908405	2543.908405
