tD/rD2	pD	pD'	pD/2pD'
8.7096359	1.501003927	0.485852101	1.54471281
8.912509381	1.512194754	0.48616965	1.55521304
9.120108394	1.523392813	0.486480172	1.56572960
9.332543008	1.534597941	0.486783816	1.57626228
9.54992586	1.545809984	0.487080733	1.58681085
9.77237221	1.557028787	0.487371065	1.59737508
10	1.568254202	0.487654956	1.60795475
10.23292992	1.57948608	0.487932545	1.61854963
10.47128548	1.590724278	0.488203967	1.62915952
10.71519305	1.601968657	0.488469357	1.63978419
10.96478196	1.613219078	0.488728845	1.65042343
11.22018454	1.624475408	0.48898256	1.66107704
11.48153622	1.635737514	0.489230627	1.67174480
11.74897555	1.647005268	0.489473169	1.68242651
12.02264435	1.658278545	0.489710306	1.69312196
12.30268771	1.669557221	0.489942156	1.70383095
12.58925412	1.680841175	0.490168835	1.71455329
12.88249552	1.692130291	0.490390455	1.72528877
13.18256739	1.703424453	0.490607127	1.73603721
13.48962883	1.714723547	0.49081896	1.74679840
13.80384265	1.726027465	0.491026059	1.75757216
14.12537545	1.737336097	0.491228528	1.76835831
14.45439771	1.74864934	0.49142647	1.77915665
14.79108388	1.759967088	0.491619982	1.78996700
15.13561248	1.771289243	0.491809164	1.80078918
15.48816619	1.782615705	0.491994109	1.81162302
15.84893192	1.793946377	0.492174912	1.82246833
16.21810097	1.805281166	0.492351663	1.83332494
16.59586907	1.816619979	0.492524452	1.84419268
16.98243652	1.827962725	0.492693367	1.85507138
17.37800829	1.839309318	0.492858493	1.86596086
17.7827941	1.850659669	0.493019913	1.87686097
18.19700859	1.862013696	0.49317771	1.88777154
18.62087137	1.873371315	0.493331965	1.89869241
19.05460718	1.884732446	0.493482754	1.90962342
19.498446	1.89609701	0.493630156	1.92056440
19.95262315	1.907464929	0.493774244	1.93151521
20.41737945	1.918836129	0.493915094	1.94247569
20.89296131	1.930210536	0.494052776	1.95344569
21.3796209	1.941588077	0.494187362	1.96442506
21.87761624	1.952968682	0.494318919	1.97541365
22.38721139	1.964352281	0.494447515	1.98641132
22.90867653	1.975738809	0.494573217	1.99741792
23.44228815	1.987128198	0.494696088	2.00843330
23.98832919	1.998520384	0.494816192	2.01945734
24.54708916	2.009915305	0.49493359	2.03048989
25.11886432	2.021312898	0.495048342	2.04153082
25.70395783	2.032713104	0.495160509	2.05257999
26.30267992	2.044115863	0.495270146	2.06363727
26.91534804	2.055521118	0.495377312	2.07470252
27.54228703	2.066928813	0.49548206	2.08577563
28.18382931	2.078338892	0.495584445	2.09685646
28.84031503	2.089751302	0.495684521	2.10794489
29.51209227	2.10116599	0.495782337	2.11904079
30.1995172	2.112582905	0.495877946	2.13014404
30.90295433	2.124001997	0.495971397	2.14125453
31.6227766	2.135423216	0.496062737	2.15237213
32.35936569	2.146846514	0.496152014	2.16349672
33.11311215	2.158271845	0.496239275	2.17462820
33.88441561	2.169699162	0.496324564	2.18576645
34.67368505	2.181128421	0.496407926	2.19691136
35.48133892	2.192559578	0.496489404	2.20806281
36.30780548	2.203992589	0.49656904	2.21922071
37.15352291	2.215427413	0.496646875	2.23038493
38.01893963	2.226864009	0.496722951	2.24155538
